"sku","_store","_attribute_set","_type","_category","_root_category","_product_websites","author","book_year","color","condition","cost","country_of_manufacture","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","description","edition","format","gallery","gift_message_available","has_options","image","image_label","isbn_number","is_used","manufacturer","media_gallery","meta_description","meta_keyword","meta_title","minimal_price","msrp","msrp_display_actual_price_type","msrp_enabled","name","news_from_date","news_to_date","options_container","page_layout","price","publisher","rental_return_date","rent_price","required_options","searchindex_weight","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","updated_at","url_key","url_path","visibility","weight","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_group_price_website","_group_price_customer_group","_group_price_price","_media_attribute_id","_media_image","_media_lable","_media_position","_media_is_disabled"
"TB-9781486025817","","Default","simple","Australian Catholic University","Default Category","base","Horngren","2014","","","","Australia","2015-08-16 7:29","","","","","","7th edition","Paperback","","","0","/9/7/9781486025817.jpg","","9781486025817","","","","","","","","164.95","Use config","Use config","Value Pack Accounting + MyAccountingLab with eText update","","","Block after Info Column","","151.75","Pearson Education","2016-7-10 0:00","","0","","","/9/7/9781486025817.jpg","","","","","1","2","/9/7/9781486025817.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/ACCT100 - Accounting Principles","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9781743760000","","Default","simple","Australian Catholic University","Default Category","base","Langfield & Smith","2014","","","","Australia","2015-08-16 7:29","","","","","","7th","Paperback","","","0","/9/7/9781743760000.jpg","","9781743760000","","","","","","","","162.95","Use config","Use config","Management Accounting : Information for Managing and Creating Value 7th Edition + CNCT OL","","","Block after Info Column","","138.51","Mcgraw-Hill","2016-7-10 0:00","","0","","","/9/7/9781743760000.jpg","","","","","1","2","/9/7/9781743760000.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/ACCT204 - Managerial Accounting","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne/ACCT30002 - Enterprise Performance Management","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Melbourne/ACCT90010 - Strategic Performance Management","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB-9780071012409","","Default","simple","Australian Catholic University","Default Category","base","Craig Deegan","2012","","","","Australia","2015-08-16 7:29","","","","","","7 ed","Paperback","","","0","/9/7/9780071012409.jpg","","9780071012409","","","","","","","","174.95","Use config","Use config","Australian Financial Accounting","","","Block after Info Column","","148.71","McGraw-Hill Australia","2016-7-10 0:00","75.58","0","","","/9/7/9780071012409.jpg","","","","","1","2","/9/7/9780071012409.jpg","","","","","4","1.0","0","0","1","0","0","1","1","1","0","1","1","","1","0","1","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","Australian Catholic University/ACCT207 - Fnancial Accounting A","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Deakin University","Default Category","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
